Date,Time,Headlines,Description,tb_sentiment,vs_sentiment,ann_sentiment,cnn_sentiment
2020-07-17,19:51:00,Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush,"""Mad Money"" host Jim Cramer recommended buying four companies that are supporting vaccine developers.",2,2,2,2
2020-07-17,19:33:00,Cramer's lightning round: I would own Teradyne,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-07-17,19:25:00,"Cramer's week ahead: Big week for earnings, even bigger week for vaccines","""We'll pay more for the earnings of the non-Covid companies if The Lancet publishes some good news from AstraZeneca's vaccine trial,"" Cramer said.",1,0,2,2
2020-07-17,16:24:00,IQ Capital CEO Keith Bliss says tech and healthcare will rally,"Keith Bliss, IQ Capital CEO, joins ""Closing Bell"" to talk about the broader markets, including the performance of the S&P 500 and the Nasdaq.",0,2,1,1
2020-07-16,19:36:00,"Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says","""Look for the stocks of high-quality companies that are going lower even though they deserve to go higher,"" the ""Mad Money"" host advised.",2,1,2,0
2020-07-16,19:23:00,Cramer's lightning round: I would just stay long Wex,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-07-16,20:03:00,Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding',"Investing $5 per day can compound to $70,000 by the time a child reaches adulthood, said Noah Kerner, CEO of micro-investing app Acorns.",0,1,1,1
2020-07-16,08:54:00,Dividend cuts may mean rethinking your retirement income strategy,"Hundreds of companies have cut or suspended their dividends so far this year, and the second half of the year is when investors will feel those reductions the most.",0,1,2,0
2020-07-15,20:25:00,"StockX has authenticated 1 million Jordan sneakers this year, CEO says","""We've been able to capture these cultural moments,"" like ESPN's release of the ""The Last Dance"" earlier this year, CEO Scott Cutler said on ""Mad Money.""",0,1,2,1
2020-07-15,19:51:00,Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug,Biohaven CEO Vlad Coric said the company brought on Khloe Kardashian to promote its migraine treatment to break the stigma around it.,0,0,1,1
2020-07-15,19:24:00,Cramer's lightning round: I like Beyond Meat,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,1
2020-07-15,18:51:00,"Cramer: We desperately need another round of federal stimulus, despite vaccine progress","""We figured we'd have maybe the virus contained in early fall, but we botched the reopening and now states are being forced to shut down again,"" the ""Mad Money"" host said.",0,1,1,0
2020-07-14,19:31:00,Cramer's lightning round: Buy more VMware,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-07-14,19:23:00,"Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says","""This market is divided into four camps,"" the ""Mad Money"" host said.",0,1,1,1
2020-07-14,19:02:00,"Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns","The charts, as interpreted by Larry Williams, suggest the S&P 500 could climb another 5% in coming weeks before equities begin to retreat, Cramer said.",0,0,1,1
2020-07-13,21:05:00,Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks,"Salesforce CEO Marc Benioff told CNBC's Jim Cramer that face masks can stop the coronavirus crisis in the U.S. in ""just three weeks."" The two are sponsoring a mask design challenge.",0,1,1,0
2020-07-13,20:33:00,"Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says","Either Crown Castle becomes a leaner, meaner cell tower play with a high dividend, or the company ups its game to fend off Elliott Management's activist position, the ""Mad Money"" host said.",2,2,2,1
2020-07-13,21:43:00,Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession',"Ellevest CEO Sallie Krawcheck, who co-founded the digital investment firm for women, explained how the pandemic is affecting women, and women of color even more severly.",2,1,1,0
2020-07-13,19:38:00,Cramer's lightning round: Zoom's pullback is a buying opportunity,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,1
2020-07-13,19:24:00,"Cramer's earnings watch: 'If the banks get hammered, things could get ugly'","""This is the week when we find out if the real world is going to intrude on the stock market world,"" the ""Mad Money"" host said.",0,1,2,1
2020-07-07,01:50:00,Stay invested in US markets for the next two years: Strategist,"Washington Crossing Advisors' Chad Morganlander says he sees earnings per share potential staying quite robust over the next 24 months, and to stay invested in high-quality sectors and growth names to avoid getting out of the market at the wrong time.",0,0,1,2
2020-07-06,04:59:00,DBS sees signs of a 'healthy' US market rally,"Hou Wey Fook of DBS Bank says the U.S. equity rally has been broad, which is a positive indicator. He also explains why the entry of retail investors is a good thing for the markets.",2,2,2,2
2020-07-02,22:57:00,Aggressive policy bolstering markets: Hirtle Callaghan,"Hirtle Callaghan's Jonathan Hirtle thinks this recession is one of design, and gives his range predictions for the S&P 500 and the U.S. 10-year treasury.",0,1,1,1
2020-07-02,19:27:00,"Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance","""The stock market is not a proxy for the economy, it's a proxy for big business,"" the ""Mad Money"" host said.",0,1,1,1
2020-07-02,19:37:00,Cramer's lightning round: I don't like Archer-Daniels-Midland Co,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-07-02,19:00:00,Sustainable produce supplier Apeel lands deal with Wakefern grocery stores,Apeel will bring limes to Wakefern Food grocery stores in July. The deal is striving to save 1.4 million limes from going bad each year.,0,1,2,2
2020-07-01,20:35:00,Jim Cramer deciphers the speculative and blue-chip stocks driving the market,"""The whole market's being upended by the pandemic and the lines they are shifting,"" the ""Mad Money"" host said.",0,1,0,1
2020-07-01,20:00:00,Cramer's lightning round: BlackRock is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-07-01,19:13:00,"The S&P 500 'could get ugly' in the near future, Jim Cramer warns","The S&P 500 could be riding into a ""make-or-break moment"" in the short term, the ""Mad Money"" host said.",0,1,1,1
2020-06-30,20:00:00,Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality',"""Mrs. Butterworth's was really architected to resemble a loving grandmother, but we can understand how some people may view it differently, may find it offensive,"" Conagra CEO Sean Connolly said.",1,1,1,1
2020-06-30,19:33:00,Cramer's lightning round: Nokia has 'good things coming',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,1
2020-06-30,19:28:00,Jim Cramer breaks down his favorite stocks from a record second quarter,"The best stocks of the second quarter were the ones with ""a lot of ingenuity and a lot more good luck,"" the ""Mad Money"" host said.",1,2,2,1
2020-06-29,19:41:00,Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session,"""We had a lot of encouraging signs today, but keep in mind that this market loves veering from one extreme to the other,"" Cramer said.",0,2,1,2
2020-06-29,19:14:00,Cramer's lightning round: James Taiclet will make Lockheed Martin some money,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-29,19:02:00,Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business,"Popeyes' viral chicken sandwich brought in new customers who are ""now experimenting and exploring the entire menu,"" Restaurant Brands CEO Jose Cil said.",0,1,2,1
2020-06-29,19:01:00,"Cramer adds new stocks, recommends buying 12 laggards in his Covid-19 index","""When you look at the biggest winners in the index, they're overwhelmingly tech companies that help facilitate the stay-at-home economy, and a lot of these got hit today,"" the ""Mad Money"" host said.",0,2,1,0
2020-06-25,19:36:00,Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus,"""This is a time where every company needs to reassess its relevance to maintain its market share and innovation,"" Salesforce CEO Marc Benioff said in a ""Mad Money"" interview.",0,0,1,1
2020-06-25,19:31:00,Cramer's lightning round: Stay in Yeti,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-25,19:02:00,"The stay-at-home stocks surged as Texas paused reopening, Jim Cramer says","After Texas put a pause on its reopening, ""many of today's winners were the usual suspects that benefit from the pandemic,"" the ""Mad Money"" host said.",0,0,2,2
2020-06-24,21:02:00,"The Awaken America trade has taken a turn for the worse, Jim Cramer warns","""I want you to raise a little cash so you can put it to work buying stocks at lower levels,"" the ""Mad Money"" host advised after a brutal sell-off on Wall Street.",0,1,1,0
2020-06-24,19:36:00,Cramer's lightning round: Buy Ulta Beauty,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,2,2,1
2020-06-24,18:59:00,Rhode Island governor mulls restrictions on travelers from coronavirus hotspot states,Rhode Island Gov. Gina Raimondo said she is considering new mitigation actions after neighboring states announced a quarantine for some inbound travelers.,1,1,2,0
2020-06-26,10:30:00,"Albertsons stock is worth buying at $25 after it IPOs, Jim Cramer says","""It's definitely not best of breed, but it's not garbage either,"" the ""Mad Money"" host said.",0,1,2,1
2020-06-24,05:12:00,"The U.S. recovery might not be V-shaped, but 'more like a square-root sign': Blackstone","Byron Wien, vice chairman at Private Wealth Solutions Group at Blackstone, weighs in on the shape of the economic recovery.",2,2,1,1
2020-06-23,22:09:00,We expect a U-shaped economic recovery: Strategist,"Erik Knutzen of Neuberger Berman says he's cautious about the trajectory of the market and economic recoveries, and explains why his base case scenario is for U.S. GDP to contract 6% this year.",0,1,2,2
2020-06-23,20:08:00,Jim Cramer says playing Larry Williams' Fourth of July trade 'makes a lot of sense',"""If you want a short-term trade with a terrific track record, [Larry] Williams says you should buy the S&P two days before July 4,"" the ""Mad Money"" host said.",0,2,2,2
2020-06-23,19:13:00,Cramer's lightning round: Two thumbs up for AstraZeneca,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-23,22:40:00,Impossible Foods CEO says the meat industry will be obsolete in 15 years — 'That's our mission',"""That transformation is inevitable,"" Impossible Foods founder and CEO Patrick Brown said after Starbucks launched the Impossible Breakfast Sandwich.",0,0,2,1
2020-06-22,20:29:00,"Spotify's story is starting to mirror Netflix's, Jim Cramer says","Wall Street has finally bought into Spotify's podcasting strategy and ""what matters here is subscriber growth,"" the ""Mad Money"" host said.",0,1,1,1
2020-06-22,20:24:00,"Recession and recovery stocks are working, but the trend is not sustainable, Jim Cramer says","""This was a day when both the recession stocks and the recovery stocks worked"" and ""someone, one of these two groups, has to be wrong,"" sooner or later, the ""Mad Money"" host said.",0,1,1,1
2020-06-22,19:06:00,Barstool's Dave Portnoy says he'll focus on sports betting when sports return,"""I'm enjoying the stock stuff ... It's been fun ... but I'm a sports guy. I'm a sports better,"" Barstool Sports founder Dave Portnoy said after jumping into day trading.",1,0,2,1
2020-06-22,19:02:00,Cramer's lightning round: Caterpillar needs an acceleration of our economy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-21,13:49:00,Nielsen CEO explains why he took on the additional role of chief diversity officer,"""I'm fortunate to have a very diverse team helping me and they encouraged me last year to take the title on,"" Nielsen CEO David Kenny said on CNBC on Friday.",1,0,1,1
2020-06-18,19:47:00,"Charts suggest new highs 'could be on the table' for the S&P 500, Jim Cramer says","""If the S&P 500 really does surge to 3,400, up 9.1% from these levels, maybe take something off the table,"" the ""Mad Money"" host said.",0,1,1,1
2020-06-18,19:24:00,Cramer's lightning round: A patient person can wait for GE to payoff,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-18,19:02:00,Jim Cramer: 10 bull markets on Wall Street and the stocks leading the way,"The 10 bull markets ""will keep working as America reopens,"" the ""Mad Money"" host said.",0,1,2,2
2020-06-17,19:17:00,Cramer's lightning round: STMicroelectronics is a 'very good company',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",2,2,2,1
2020-06-17,19:12:00,Union Pacific CEO sees 'signs of optimism' in multiple markets as economy recovers,"""We are seeing the e-commerce demand flow through to our rail business,"" Union Pacific CEO Lance Fritz told CNBC's Jim Cramer.",0,2,2,2
2020-06-17,18:54:00,"Royal Pharma came public in a 'golden age of medical research,' Jim Cramer says","""I think the story is so compelling that it's worth putting on a small position even up here,"" the ""Mad Money"" host said.",0,1,1,2
2020-06-17,18:44:00,Cramer advises investors to continue investing based on the 'new normal',"""These social distancing stocks have become some of the best investments around. I think they'll stay that way until we get a vaccine,"" the ""Mad Money"" host said.",2,0,1,1
2020-06-16,20:11:00,"Cramer channels Wall Street legend Martin Zweig: 'Don't fight the tape, don't fight the Fed'","""Mad Money"" host Jim Cramer broke down what drove Tuesday's market rally.",0,1,1,0
2020-06-16,19:00:00,Cramer reacts to Trump administration's potential $1 trillion infrastructure proposal,CNBC's Jim Cramer weighs his favorite stock picks amid talks of the Trump administration considering a massive infrastructure spending package.,1,0,1,2
2020-06-16,18:57:00,Cramer's lightning round: Let's buy some Pinterest,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
2020-06-16,18:57:00,Canopy Growth CEO expects weed will be legalized federally by 2022,"""My assumption is that 2022, for me, is the magic number,"" he said in a ""Mad Money"" interview.",0,2,2,1
2020-06-15,19:37:00,"Campbell Soup CEO says June pantry sales are unusually high, despite reopening economy","""I think the behaviors that were built in the last several months have the real potential to continue to provide a catalyst for improved results,"" CEO Mark Clouse said in a ""Mad Money"" interview.",0,1,2,2
2020-06-15,19:32:00,Cramer's lightning round: Virgin Galactic is 'too dangerous a game for me',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",0,1,2,1
