Date,Headlines,tb_sentiment,vs_sentiment,ann_sentiment
2020-07-19,"Business leader  


  Vestager has tasted defeat, but she should not stop chasing Big Tech",1,1,2
2020-07-19,"Observer business agenda  


  Centrica: seven years of struggle, only to be caught by Covid",1,0,2
2020-07-19,"Hidden gems from the world of research  


  What's the big idea? Theories are contagious",1,0,2
2020-07-19,Johnson is asking Santa for a Christmas recovery,1,1,2
2020-07-19,‘I now fear the worst’: four grim tales of working life upended by Covid-19,0,0,1
2020-07-19,Five key areas Sunak must tackle to serve up economic recovery,1,1,2
2020-07-19,Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,1,1,2
2020-07-19,"The Week in Patriarchy  


  Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",1,0,1
2020-07-19,English councils call for smoking ban outside pubs and cafes,1,0,2
2020-07-19,Can Tesla justify a $300bn valuation?,1,1,2
2020-07-19,Empty city centres: 'I’m not sure it will ever be the same again',1,0,2
2020-07-19,Democratising finance for all? An investment app for amateurs and a student trader's death,1,0,2
2020-07-19,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",1,0,2
2020-07-19,St Mawes named UK’s top seaside resort in Which? poll,2,1,2
2020-07-19,Atol protection to be extended to vouchers on Covid-19 cancellations,1,1,0
2020-07-19,"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",1,1,2
2020-07-19,Boohoo calls for licensing scheme to ensure textile factories fit to trade,2,2,2
2020-07-19,All Asda HQ staff told to return to office at least once a week from August,0,1,1
2020-07-19,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",1,0,2
2020-07-19,British Airways retires iconic Boeing 747 fleet – in pictures,2,1,2
2020-07-17,World Bank calls on creditors to cut poorest nations' debt payments,1,0,2
2020-07-17,British Airways retires Boeing 747 fleet as Covid-19 hits travel,1,1,2
2020-07-17,What will changes to England's lockdown rules mean for me?,0,1,2
2020-07-17,In search of a new economics for Covid-19 era,1,1,2
2020-07-17,Business live  Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened,1,2,1
2020-07-17,"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",1,1,1
2020-07-17,BA begins to carry out its 'fire and rehire' threat to jobs,1,0,2
2020-07-17,"Johnson's coronavirus workplace guidance confused, warn unions",0,0,0
2020-07-17,What will be changing in Boris Johnson's 'return to normality',1,1,2
2020-07-17,Lloyds to increase number of black staff in senior roles,1,2,2
2020-07-17,Silicon Valley has deep pockets for African startups – if you’re not African,1,1,1
2020-07-17,'What’s going to give?': millions fret as Republicans threaten to halt $600 weekly lifesaver,1,2,2
2020-07-17,Future of education  'The MIT of the north': how the government plans to transform ex-mining towns,1,1,2
2020-07-17,Battery firm chooses Welsh site for Britain's first gigafactory,1,1,2
2020-07-17,Netflix shares drop despite positive second-quarter earnings,2,0,0
2020-07-17,"Nils Pratley on finance  


  Centrica left it far too late to tackle its problems",1,0,2
2020-07-17,Here's another virus terrorising businesses and causing havoc: ransomware,1,0,2
2020-07-17,"$11.3bn in IMF Covid-19 money is being used to service debt, says group",1,0,1
2020-07-17,A fifth of Brazilian soy in Europe is result of deforestation,1,1,1
2020-07-17,Public sector pension discrimination could cost UK taxpayer £17bn,1,1,2
2020-07-16,World's largest oil firm agrees to carbon cuts to tackle climate crisis,1,0,1
2020-07-16,Boohoo shares rise 12% after co-founders pump £15m into firm,1,2,2
2020-07-16,UK government orders halt to Randox Covid-19 tests over safety issues,1,2,2
2020-07-16,Canary Wharf traders and landlord bank on return to offices,1,1,1
2020-07-16,Number of UK problem gamblers seeking help soars in lockdown,1,1,2
2020-07-16,British Gas owner 'using Covid-19 as smokescreen to alter staff contracts',1,1,2
2020-07-16,'It's disrupted our entire lives': UK workers on losing their jobs,1,0,0
2020-07-16,Business live  China shares suffer biggest fall since February; US jobless claims still high - as it happened,1,0,2
2020-07-16,"More than 1,600 UK jobs at risk at casino firm Genting",1,0,2
2020-07-16,Royalties investment firm buys catalogue of Lady Gaga collaborator,1,1,2
2020-07-16,"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",1,0,2
2020-07-16,Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS,1,1,2
2020-07-16,Next in final stages of buying UK arm of Victoria's Secret,1,1,2
2020-07-16,"Human rights in focus  Ethical labels not fit for purpose, report warns consumers",1,1,2
2020-07-16,UK banks may have to flag up plans to shut branches or cash machines,1,1,2
2020-07-16,1.3m more file for unemployment as US economy continues to reel,2,0,2
2020-07-16,Southbank Centre warns of 400 job losses amid coronavirus crisis,1,0,0
2020-07-16,UK's hidden problem of rising unemployment may soon be exposed,1,0,1
2020-07-16,"UK paid employment falls by almost 650,000 as Covid-19 crisis bites",1,0,0
2020-07-16,Banks propose student loan-style scheme for struggling UK businesses,1,0,2
2020-07-16,Family fortunes of wealthy increase as super-rich ride coronavirus storm,2,2,1
2020-07-16,"'Incredible' Boohoo denying knowledge of factory allegations, says MP",2,0,2
